Entidad federativa,Edad,Población total,SLE,NSLE,NE
Aguascalientes,6,25419.0,12191.0,11968.0,1260.0
Aguascalientes,7,25706.0,21539.0,3133.0,1034.0
Aguascalientes,8,25989.0,24191.0,1224.0,574.0
Aguascalientes,9,26380.0,25519.0,653.0,208.0
Aguascalientes,10,26529.0,25937.0,394.0,198.0
Aguascalientes,11,24325.0,24046.0,225.0,54.0
Aguascalientes,12,24469.0,24185.0,202.0,82.0
Aguascalientes,13,23731.0,23432.0,160.0,139.0
Aguascalientes,14,24752.0,24497.0,148.0,107.0
Aguascalientes,6,918.0,384.0,491.0,43.0
Aguascalientes,7,1014.0,784.0,210.0,20.0
Aguascalientes,8,915.0,828.0,70.0,17.0
Aguascalientes,9,1013.0,958.0,53.0,2.0
Aguascalientes,10,962.0,932.0,27.0,3.0
Aguascalientes,11,853.0,832.0,19.0,2.0
Aguascalientes,12,896.0,882.0,10.0,4.0
Aguascalientes,13,848.0,828.0,15.0,5.0
Aguascalientes,14,857.0,844.0,10.0,3.0
Aguascalientes,6,822.0,382.0,422.0,18.0
Aguascalientes,7,769.0,623.0,133.0,13.0
Aguascalientes,8,757.0,715.0,36.0,6.0
Aguascalientes,9,825.0,791.0,30.0,4.0
Aguascalientes,10,797.0,779.0,13.0,5.0
Aguascalientes,11,695.0,686.0,7.0,2.0
Aguascalientes,12,660.0,651.0,9.0,0.0
Aguascalientes,13,649.0,639.0,6.0,4.0
Aguascalientes,14,699.0,691.0,5.0,3.0
Aguascalientes,6,1258.0,543.0,629.0,86.0
Aguascalientes,7,1321.0,1044.0,194.0,83.0
Aguascalientes,8,1334.0,1204.0,81.0,49.0
Aguascalientes,9,1377.0,1325.0,42.0,10.0
Aguascalientes,10,1404.0,1365.0,28.0,11.0
Aguascalientes,11,1223.0,1207.0,15.0,1.0
Aguascalientes,12,1260.0,1243.0,15.0,2.0
Aguascalientes,13,1137.0,1122.0,8.0,7.0
Aguascalientes,14,1238.0,1222.0,10.0,6.0
Aguascalientes,6,2332.0,975.0,1211.0,146.0
Aguascalientes,7,2416.0,1949.0,364.0,103.0
Aguascalientes,8,2430.0,2235.0,142.0,53.0
Aguascalientes,9,2597.0,2510.0,68.0,19.0
Aguascalientes,10,2469.0,2392.0,43.0,34.0
Aguascalientes,11,2233.0,2204.0,22.0,7.0
Aguascalientes,12,2189.0,2167.0,16.0,6.0
Aguascalientes,13,2102.0,2071.0,13.0,18.0
Aguascalientes,14,2220.0,2197.0,13.0,10.0
Aguascalientes,6,1818.0,818.0,881.0,119.0
Aguascalientes,7,1771.0,1483.0,194.0,94.0
Aguascalientes,8,1738.0,1616.0,76.0,46.0
Aguascalientes,9,1749.0,1710.0,27.0,12.0
Aguascalientes,10,1814.0,1787.0,18.0,9.0
Aguascalientes,11,1532.0,1517.0,13.0,2.0
Aguascalientes,12,1621.0,1604.0,10.0,7.0
Aguascalientes,13,1554.0,1530.0,11.0,13.0
Aguascalientes,14,1563.0,1549.0,7.0,7.0
Aguascalientes,6,378.0,193.0,174.0,11.0
Aguascalientes,7,406.0,341.0,48.0,17.0
Aguascalientes,8,397.0,370.0,20.0,7.0
Aguascalientes,9,378.0,369.0,8.0,1.0
Aguascalientes,10,386.0,380.0,5.0,1.0
